unixtime,Price
1661961600,0.72067
1661965200,0.75
1661968800,0.71445
1661972400,0.67726
1661976000,0.56352
1661979600,0.53251
1661983200,0.49077
1661986800,0.48436
1661990400,0.48634
1661994000,0.48002
1661997600,0.49518
1662001200,0.5328
1662004800,0.64471
1662008400,0.66921
1662012000,0.66546
1662015600,0.61415
1662019200,0.56793
1662022800,0.52202
1662026400,0.49526
1662030000,0.49155
1662033600,0.51125
1662037200,0.53965
1662040800,0.55997
1662044400,0.63145
1662048000,0.68623
1662051600,0.7299
1662055200,0.70209
1662058800,0.64072
1662062400,0.57254
1662066000,0.49519
1662069600,0.45605
1662073200,0.41874
1662076800,0.39535
1662080400,0.36268
1662084000,0.39173
1662087600,0.44542
1662091200,0.53208
1662094800,0.5661
1662098400,0.58197
1662102000,0.52989
1662105600,0.49753
1662109200,0.40422
1662112800,0.26008
1662116400,0.23859
1662120000,0.24416
1662123600,0.30998
1662127200,0.36753
1662130800,0.48939
1662134400,0.5501
1662138000,0.57434
1662141600,0.56286
1662145200,0.40196
1662148800,0.34325
1662152400,0.21006
1662156000,0.23018
1662159600,0.24497
1662163200,0.26246
1662166800,0.24999
1662170400,0.2353
1662174000,0.29167
1662177600,0.275
1662181200,0.37008
1662184800,0.40043
1662188400,0.37867
1662192000,0.20673
1662195600,0.12828
1662199200,0.07527
1662202800,0.05101
1662206400,0.07755
1662210000,0.16593
1662213600,0.24998
1662217200,0.40154
1662220800,0.45363
1662224400,0.53
1662228000,0.51493
1662231600,0.411
1662235200,0.38171
1662238800,0.31972
1662242400,0.21027
1662246000,0.20477
1662249600,0.20005
1662253200,0.20416
1662256800,0.22008
1662260400,0.22272
1662264000,0.21107
1662267600,0.22639
1662271200,0.20995
1662274800,0.18372
1662278400,0.12591
1662282000,0.08397
1662285600,0.07261
1662289200,0.05291
1662292800,0.06548
1662296400,0.08663
1662300000,0.20412
1662303600,0.375
1662307200,0.45547
1662310800,0.50993
1662314400,0.50993
1662318000,0.445
1662321600,0.40967
1662325200,0.33528
1662328800,0.26925
1662332400,0.22
1662336000,0.21245
1662339600,0.22284
1662343200,0.23933
1662346800,0.36752
1662350400,0.4599
1662354000,0.5065
1662357600,0.51993
1662361200,0.47049
1662364800,0.40099
1662368400,0.30808
